@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute test-1 numeric
@attribute thickness-1 numeric

@data
172,'2021/04/01 19:19:09:656',5,0.05,0.12
173,'2021/04/01 19:19:09:671',5,0.05,0.12
174,'2021/04/01 19:19:09:689',5,0.05,0.12
175,'2021/04/01 19:19:09:705',5,0.05,0.12
176,'2021/04/01 19:19:09:722',5,0.05,0.12
177,'2021/04/01 19:19:09:739',5,0.05,0.12
178,'2021/04/01 19:19:09:755',5,0.04,0.12
179,'2021/04/01 19:19:09:772',5,0.04,0.12
180,'2021/04/01 19:19:09:788',5,0.04,0.12
181,'2021/04/01 19:19:09:805',5,0.03,0.12
182,'2021/04/01 19:19:09:821',5,0.03,0.12
183,'2021/04/01 19:19:09:838',5,0.02,0.12
184,'2021/04/01 19:19:09:856',5,0.02,0.12
185,'2021/04/01 19:19:09:871',5,0.02,0.12
186,'2021/04/01 19:19:09:889',5,0.02,0.12
187,'2021/04/01 19:19:09:905',5,0.02,0.12
188,'2021/04/01 19:19:09:921',5,0.02,0.12
189,'2021/04/01 19:19:09:940',5,0.03,0.12
190,'2021/04/01 19:19:09:955',5,0.03,0.12
191,'2021/04/01 19:19:09:972',5,0.03,0.12
192,'2021/04/01 19:19:09:988',5,0.03,0.12
193,'2021/04/01 19:19:10:025',5,0.03,0.12
194,'2021/04/01 19:19:10:038',5,0.03,0.12
195,'2021/04/01 19:19:10:122',5,0.03,0.12
196,'2021/04/01 19:19:10:142',5,0.03,0.12
197,'2021/04/01 19:19:10:155',5,0.03,0.12
198,'2021/04/01 19:19:10:172',5,0.04,0.12
199,'2021/04/01 19:19:10:189',5,0.05,0.12
200,'2021/04/01 19:19:10:207',5,0.05,0.12
201,'2021/04/01 19:19:10:222',5,0.05,0.12
202,'2021/04/01 19:19:10:238',5,0.05,0.12
203,'2021/04/01 19:19:10:257',5,0.06,0.12
204,'2021/04/01 19:19:10:272',5,0.06,0.12
205,'2021/04/01 19:19:10:289',5,0.07,0.12
206,'2021/04/01 19:19:10:305',5,0.08,0.12
207,'2021/04/01 19:19:10:322',5,0.08,0.12
208,'2021/04/01 19:19:10:338',5,0.08,0.12
209,'2021/04/01 19:19:10:356',5,0.08,0.12
210,'2021/04/01 19:19:10:372',5,0.08,0.12
211,'2021/04/01 19:19:10:388',5,0.08,0.12
212,'2021/04/01 19:19:10:405',5,0.08,0.12
213,'2021/04/01 19:19:10:421',5,0.09,0.12
214,'2021/04/01 19:19:10:438',5,0.1,0.12
215,'2021/04/01 19:19:10:607',5,0.12,0.12
216,'2021/04/01 19:19:10:621',5,0.14,0.12
217,'2021/04/01 19:19:10:640',5,0.14,0.12
218,'2021/04/01 19:19:10:655',5,0.14,0.12
219,'2021/04/01 19:19:10:671',5,0.14,0.12
220,'2021/04/01 19:19:10:689',5,0.14,0.12
221,'2021/04/01 19:19:10:705',5,0.14,0.12
222,'2021/04/01 19:19:10:722',5,0.13,0.12
223,'2021/04/01 19:19:10:738',5,0.13,0.12
224,'2021/04/01 19:19:10:755',5,0.13,0.12
225,'2021/04/01 19:19:10:772',5,0.13,0.12
226,'2021/04/01 19:19:10:788',5,0.13,0.12
227,'2021/04/01 19:19:10:805',5,0.12,0.12
228,'2021/04/01 19:19:10:821',5,0.09,0.12
229,'2021/04/01 19:19:10:838',5,0.07,0.12
230,'2021/04/01 19:19:10:854',5,0.06,0.12
231,'2021/04/01 19:19:10:871',5,0.05,0.12
232,'2021/04/01 19:19:10:889',5,0.04,0.12
233,'2021/04/01 19:19:10:905',5,0.02,0.12
234,'2021/04/01 19:19:10:922',5,0.02,0.12
235,'2021/04/01 19:19:10:955',5,0.02,0.12
236,'2021/04/01 19:19:10:972',5,0.02,0.12
237,'2021/04/01 19:19:10:988',5,0.01,0.12
238,'2021/04/01 19:19:11:040',5,0.01,0.12
239,'2021/04/01 19:19:17:189',6,0.47,0.52
240,'2021/04/01 19:19:17:205',6,0.47,0.52
241,'2021/04/01 19:19:17:255',6,0.47,0.52
242,'2021/04/01 19:19:17:273',6,0.47,0.52
243,'2021/04/01 19:19:17:288',6,0.47,0.52
244,'2021/04/01 19:19:17:306',6,0.47,0.52
245,'2021/04/01 19:19:17:321',6,0.48,0.52
246,'2021/04/01 19:19:17:338',6,0.48,0.52
247,'2021/04/01 19:19:17:355',6,0.49,0.52
248,'2021/04/01 19:19:17:371',6,0.49,0.52
249,'2021/04/01 19:19:17:388',6,0.49,0.52
250,'2021/04/01 19:19:17:405',6,0.49,0.52
251,'2021/04/01 19:19:17:422',6,0.49,0.52
252,'2021/04/01 19:19:17:488',6,0.49,0.52
253,'2021/04/01 19:19:17:527',6,0.49,0.52
254,'2021/04/01 19:19:17:538',6,0.49,0.52
255,'2021/04/01 19:19:17:555',6,0.49,0.52
256,'2021/04/01 19:19:17:623',6,0.49,0.52
257,'2021/04/01 19:19:17:639',6,0.48,0.52
258,'2021/04/01 19:19:17:654',6,0.48,0.52
259,'2021/04/01 19:19:17:672',6,0.48,0.52
260,'2021/04/01 19:19:17:689',6,0.48,0.52
261,'2021/04/01 19:19:17:705',6,0.48,0.52
262,'2021/04/01 19:19:17:722',6,0.47,0.52
263,'2021/04/01 19:19:17:738',6,0.47,0.52
264,'2021/04/01 19:19:17:755',6,0.47,0.52
265,'2021/04/01 19:19:17:772',6,0.47,0.52
266,'2021/04/01 19:19:17:788',6,0.46,0.52
267,'2021/04/01 19:19:17:805',6,0.46,0.52
268,'2021/04/01 19:19:17:821',6,0.45,0.52
269,'2021/04/01 19:19:17:839',6,0.44,0.52
270,'2021/04/01 19:19:17:855',6,0.44,0.52
271,'2021/04/01 19:19:17:871',6,0.44,0.52
272,'2021/04/01 19:19:17:889',6,0.44,0.52
273,'2021/04/01 19:19:17:905',6,0.45,0.52
274,'2021/04/01 19:19:17:922',6,0.45,0.52
275,'2021/04/01 19:19:17:938',6,0.46,0.52
276,'2021/04/01 19:19:17:955',6,0.46,0.52
277,'2021/04/01 19:19:17:988',6,0.46,0.52
278,'2021/04/01 19:19:18:054',6,0.47,0.52
279,'2021/04/01 19:19:18:071',6,0.48,0.52
280,'2021/04/01 19:19:18:089',6,0.48,0.52
281,'2021/04/01 19:19:18:104',6,0.48,0.52
282,'2021/04/01 19:19:18:122',6,0.49,0.52
283,'2021/04/01 19:19:18:138',6,0.5,0.52
284,'2021/04/01 19:19:18:160',6,0.51,0.52
